ID;COUNTRY;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1;Brazil;-53.5490;-33.7005;4772;5773;5560;5572;4666;3667;3348;3410;3927;4357;5212;5816;5962
2;Brazil;-53.4490;-33.7005;4776;5785;5550;5554;4650;3689;3339;3387;3929;4392;5236;5837;5959
3;Brazil;-53.3490;-33.7005;4779;5803;5548;5555;4623;3710;3341;3387;3928;4406;5248;5827;5975
4;Brazil;-53.2490;-33.7005;4788;5874;5636;5626;4618;3689;3301;3326;3880;4399;5251;5840;6010
5;Brazil;-53.5490;-33.6005;4773;5820;5581;5582;4686;3671;3311;3367;3925;4363;5194;5800;5984
6;Brazil;-53.4490;-33.6005;4766;5795;5578;5561;4662;3707;3311;3361;3909;4360;5189;5803;5950
7;Brazil;-53.3490;-33.6005;4763;5746;5518;5508;4643;3743;3345;3372;3936;4390;5244;5807;5902
8;Brazil;-53.2490;-33.6005;4756;5746;5522;5513;4613;3721;3312;3339;3927;4413;5254;5810;5909
9;Brazil;-53.1490;-33.6005;4733;5759;5545;5521;4553;3670;3290;3311;3864;4367;5218;5774;5929
10;Brazil;-53.5490;-33.5005;4804;5872;5645;5617;4737;3715;3309;3360;3924;4386;5215;5838;6026
11;Brazil;-53.4490;-33.5005;4789;5821;5619;5589;4732;3730;3315;3369;3920;4371;5207;5817;5975
12;Brazil;-53.3490;-33.5005;4745;5748;5514;5502;4656;3714;3327;3365;3912;4357;5192;5779;5875
13;Brazil;-53.2490;-33.5005;4754;5753;5525;5485;4626;3725;3341;3356;3938;4368;5221;5819;5886
14;Brazil;-53.1490;-33.5005;4753;5765;5535;5522;4625;3730;3319;3340;3903;4365;5216;5797;5916
15;Brazil;-53.0490;-33.5005;4727;5744;5575;5525;4594;3672;3272;3287;3825;4329;5180;5771;5945
16;Brazil;-52.9490;-33.5005;4780;5805;5698;5598;4697;3698;3288;3283;3846;4361;5238;5831;6015
17;Brazil;-53.5490;-33.4005;4814;5891;5657;5659;4748;3735;3308;3367;3930;4386;5205;5848;6033
18;Brazil;-53.4490;-33.4005;4791;5813;5617;5594;4743;3750;3318;3382;3918;4364;5196;5819;5975
19;Brazil;-53.3490;-33.4005;4740;5732;5521;5480;4663;3725;3312;3388;3921;4321;5161;5763;5892
20;Brazil;-53.2490;-33.4005;4734;5737;5493;5457;4663;3721;3355;3358;3937;4310;5160;5761;5861
21;Brazil;-53.1490;-33.4005;4732;5735;5493;5456;4650;3736;3340;3322;3923;4349;5159;5745;5875
22;Brazil;-53.0490;-33.4005;4732;5732;5541;5497;4612;3720;3325;3268;3892;4362;5180;5729;5921
23;Brazil;-52.9490;-33.4005;4683;5647;5562;5458;4558;3636;3248;3264;3807;4306;5121;5690;5896
24;Brazil;-52.8490;-33.4005;4705;5711;5622;5537;4599;3616;3230;3229;3794;4286;5172;5737;5922
25;Brazil;-53.5490;-33.3005;4827;5894;5723;5671;4812;3785;3282;3381;3892;4380;5226;5843;6039
26;Brazil;-53.4490;-33.3005;4787;5802;5651;5602;4754;3774;3288;3396;3905;4317;5184;5800;5975
27;Brazil;-53.3490;-33.3005;4745;5717;5566;5532;4658;3727;3279;3400;3936;4309;5143;5762;5908
28;Brazil;-53.2490;-33.3005;4708;5666;5484;5449;4626;3722;3313;3332;3923;4289;5123;5732;5835
29;Brazil;-53.1490;-33.3005;4701;5678;5482;5444;4619;3713;3297;3308;3906;4297;5113;5717;5837
30;Brazil;-53.0490;-33.3005;4735;5730;5547;5481;4645;3739;3290;3324;3894;4352;5162;5731;5926
31;Brazil;-52.9490;-33.3005;4743;5744;5622;5477;4665;3751;3293;3318;3884;4348;5164;5715;5944
32;Brazil;-52.8490;-33.3005;4679;5667;5566;5399;4561;3668;3255;3303;3830;4273;5086;5656;5884
33;Brazil;-52.7490;-33.3005;4679;5692;5630;5460;4559;3635;3212;3238;3784;4238;5120;5695;5886
34;Brazil;-53.5490;-33.2005;4848;5883;5737;5683;4832;3797;3302;3402;3917;4424;5253;5875;6068
35;Brazil;-53.4490;-33.2005;4814;5818;5679;5640;4780;3786;3291;3404;3919;4366;5220;5850;6018
36;Brazil;-53.3490;-33.2005;4761;5744;5594;5565;4682;3756;3281;3382;3908;4305;5152;5795;5965
37;Brazil;-53.2490;-33.2005;4715;5701;5534;5465;4651;3731;3293;3324;3898;4285;5100;5734;5859
38;Brazil;-53.1490;-33.2005;4702;5688;5510;5428;4649;3730;3290;3339;3903;4284;5074;5704;5820
39;Brazil;-53.0490;-33.2005;4724;5704;5540;5434;4644;3753;3287;3344;3913;4314;5123;5737;5893
40;Brazil;-52.9490;-33.2005;4732;5737;5599;5453;4639;3733;3301;3335;3892;4325;5134;5720;5914
41;Brazil;-52.8490;-33.2005;4745;5737;5630;5493;4667;3765;3286;3319;3876;4334;5164;5735;5942
